0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:35:52 +0900] "GET /test/MypageServlet?btn=search&selectWay=username HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:35:58 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:37:17 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:38:10 +0900] "GET /test/SearchServlet?category=SF&btn=&selectWay=category HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:38:45 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:38:45 +0900] "GET /test/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:39:08 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:39:11 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:39:11 +0900] "GET /test/mypage.css HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:42:04 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:42:05 +0900] "GET /test/mypage.css HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:42:34 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:42:34 +0900] "GET /test/mypage.css HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [17/Jun/2020:16:42:44 +0900] "GET /test/MypageServlet?btn=home HTTP/1.1" 200 1974
